"iso","country","sex","age","agegroup","educ","edugroup","edu.complete","freqgroup","pref_type","thc_avg","thc_label","cast_tot","highrisk","cw_tot_flowers","cw_tot_resin","total_flower","total_resin","total_cannabis","total_cannabis_useday","total_thc","thc_units_total","thc_units_useday","resp_total","resp_sexage","resp_sexageedu"
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,"10-19",NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,"29-30",NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia","men",37,"35-44",NA,NA,FALSE,"29-30","flower",0.075,"5-9.9%",18,"high",60,1,60,NA,60,2,4.5,900,30,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia","women",42,"35-44",4,"high",TRUE,"1-9","other",0.3,"30%+",3,"low",NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,"10-19",NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,"10-19",NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,"10-19","flower",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia","women",33,"25-34",NA,NA,FALSE,"10-19","flower",0.075,"5-9.9%",0,"low",30,NA,17.1399993896484,NA,17.1399993896484,0.999999964390224,1.286,257.2,15.0058343057176,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,"flower",NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,"1-9",NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,"29-30",NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,"1-9",NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,"29-30",NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia","men",35,"35-44",NA,NA,FALSE,"1-9","flower",0.125,"10-14.9%",5,"low",1.5,NA,1.71399998664856,NA,1.71399998664856,0.199999998442072,0.214,42.8,4.99416569428238,925,925,34
"CZ","Czechia","men",47,"45-54",NA,NA,FALSE,"10-19","flower",0.075,"5-9.9%",9,"high",3,NA,1.5,NA,1.5,0.1,0.113,22.6,1.50666666666667,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia","men",46,"45-54",NA,NA,FALSE,"1-9","resin",0.125,"10-14.9%",0,"low",NA,0.24,NA,1.07124996185303,1.07124996185303,0.249999991097556,0.134,26.8,6.25437572928821,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
"CZ","Czechia",NA,NA,NA,NA,NA,FALSE,NA,NA,NA,"unknown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,925,925,34
